"text","staff","amenities","food/drinks","cleanliness","location"
"The location is excellent which is what you are really paying for.",0,0,0,0,1
"The staff were extremely friendly and check in and out was a breeze.",1,0,0,0,0
"Our cottage smelled terrible - like old cigarette smoke and a mix of mold/mildew.",0,0,0,0,0
"Monica the manager is amazing.",1,0,0,0,0
"the staff was a wonderful smilling help assisting us.",1,0,0,0,0
"Very friendly staff at the reception desk and the breakfast was first rate.",1,0,1,0,0
"Staff very pleasant and professional.",1,0,0,0,0
"No restaurants near the hotel.",0,0,0,0,0
"Hotel staff were incredibly nice.",1,0,0,0,0
"Outstanding location good places to eat close to family and friends.",0,0,0,0,1
"The young lady at the counter was courteous informative and speedy which was great because we were tired.",1,0,0,0,0
"The room was very comfortable and clean.",0,0,0,1,0
"The complimentary breakfast was quite good and check out was a breeze.",0,0,1,0,0
"Multiple breakfast options were nice.",0,0,1,0,0
"Room was clean and easily cooled down.",0,0,0,1,0
"Staff were friendly and helpful.",1,0,0,0,0
"Appreciated that smoking was allowed nearby - outside of building.",0,0,0,0,1
"Staff were really friendly and helpful.",1,0,0,0,0
"The did not have extra fees for the roll away bed the breakfast was delicious and the room was very modern and clean.",0,0,1,1,0
"Everything was nice except no one serviced the room... no trash removal no clean towels nothing.",0,0,0,0,0
"From arrival to departure we only saw smiles on the faces of two members of staff.",1,0,0,0,0
"No one on the staff seemed to have a desire to offer hospitality.",0,0,0,0,0
"Staff very friendly.",1,0,0,0,0
"This was one of the cleanest i have ever stayed in.",0,0,0,1,0
"The staff was also exceptionally friendly and welcoming.",1,0,0,0,0
"It was a very nice hotel with attentive staff and good access to the area.",1,0,0,0,1
"Very nice free breakfast with tasty food.",0,0,1,0,0
"The entire staff was very friendly and efficient!",1,0,0,0,0
"The bath tubs were the biggest I have ever seen!",1,0,1,0,1
"The staff was very friendly and accommodating and even delivered breakfast to your door as your wake up call.",1,0,1,0,0
"The location is excellent with plenty of interesting venues with in walking distance.",0,0,0,0,1
"Very friendly and accommodating.",1,0,0,0,0
"A great hotel with the nicest staff.",1,0,0,0,0
"Nice place within walking distance from restaurants and cute bars.",0,0,1,0,1
"Staff were great and very helpful to direct and give advice.",1,0,0,0,0
"The cake and warm cookies in the common area were truly a bonus.",0,0,0,0,1
"Service is top notch.",1,0,0,0,0
"The free breakfast did not have any choices that appealed to me because I do not like croissants.",0,0,0,0,0
"But it was FREE breakfast so no complaints from me.",0,0,1,0,0
"The hotel was what is uper clean smelled good and the staff was very welcoming and friendly!",1,0,0,1,0
"The property is immaculate the staff are wonderful it’s in a great location.",1,0,0,0,1
"This boutique hotel has everything you could want and the staff can’t be more helpful.",1,0,0,0,0
"Even to the cake and coffee left out for self help during the day.",0,0,1,0,0
"Impeccably clean large rooms everything nice new and comfortable.",0,0,0,1,0
"Great service and amenities.",1,0,0,0,0
"Great location.",0,0,0,0,1
"Always a nice place to stay in a great area not the same old cookie cutter franchise hotel.",0,0,0,0,0
"Stayed 7 days  6 of them a beer bottle full of urine sat in the breezeway.",0,0,0,0,0
"Staff refused to have it cleaned up despite many calls to front desk.",0,0,0,0,0
"It was horrible and wanted a refund but could not get one the rooms were a mess had junk and trash and smelled terrible I will never ever stay there again they let that place to down hill",0,0,0,0,0
"Very clean nice thoughtful and generous staff anytime maintenance and friendly owners",1,0,0,1,0
"Clean friendly nice staff on-time check in on time check out safe clean quiet environment",1,0,0,1,0
"Outdated but clean and the location was perfect for our staff.",1,0,0,1,1
"There were prolonged power outages during my stay and breakfast was sparse no butter or jam for my toast.",0,0,0,0,0
"Beautifully decorated rooms...great food courteous staff.",1,0,1,0,0
"Within walking distance to local eateries as well.",0,0,0,0,1
"But definitely not for people who are looking for a nice hotel room and service experience.",0,0,0,0,0
"The staff are very helpful and provide prompt service.",1,0,0,0,0
"What I did not like is the full charge for having breakfast in the room when my booking included complimentary breakfast.",0,0,1,0,0
"Need more food for expats mainly Nigerian food.",0,0,1,0,0
"Service quality must improve",1,0,0,0,0
"Awesome location awesome staff rooms r Roomy would return over and over nxt time I will try the executive room",1,0,0,0,1
"Breakfast was a let down limited choice and some of the food was dry.",0,0,0,0,0
"Housekeeping staff were slow to requests.",0,0,0,0,0
"Floor smelled.",0,0,0,0,0
"Great location with happy staffs",1,0,0,0,1
"Amazing breakfast as well.",0,0,1,0,0
"Breakfast was good but ate dinner twice in the hotel and the food was not particularly nice.",0,0,0,0,0
"The pool was dirty and not cleaned while I was there.",0,0,0,0,0
"The sink leaked but was not fixed and to delete any phone messages you need to call IT who came and deleted them??? .",0,0,0,0,0
"The staff were friendly and polite and the room cleaner was excellent.",1,0,0,1,0
"Awesome service",1,0,0,0,0
"The front desk staff porter and security guards were top notch.",1,0,0,0,0
"I never could get an hotel like this in that area of Lagos.",0,0,0,0,0
"Everything about the hotel was fantabulous including the staff right from the gate man/woman security.",0,0,0,0,0
"Nice hotel in quiet residential area.",0,0,0,0,1
"The restaurant offered nice meals.",0,0,1,0,0
"Service was excellent from all staff.",1,0,0,0,0
"Very peaceful but I didn’t like the food from room service.",1,0,1,0,0
"The breakfast was very good.",0,0,1,0,0
"The Staff were very friendly and helpful and breakfast was good with both local and international options.",1,0,1,0,0
"it was clean and nicely laid out.",0,0,0,1,0
"This was one of the better hotel in Lagos as far as cleanlines and friendlyness of staff.",0,0,0,0,0
"Staff was friendly greeted with warm welcome.",1,0,0,0,0
"Standard room was clean comfortable and vibrant.",0,0,0,1,0
"Hotel not located near activities you can walk to however a car hire is available also for convenience.",0,0,0,0,0
"Solid choice of hotel in this area.",0,0,0,0,1
"A bit out of town but only a short walk.",0,0,0,0,1
"But more than made up for with a short walk to a cute beach to watch the sunset.",0,0,0,0,1
"Very kind and helpful staff great place to stay that met all my needs.",1,0,0,0,0
"A beautiful short walk to the beach through a neat like nature tunnel of vegetation.",0,0,0,0,1
"Great location staff was very nice a quick walk to the beach great shower!",1,0,0,0,1
"It was nice to arrive to a room was fresh and clean.",0,0,0,1,0
"Older motel from the 50's free breakfast was a misrepresentation - cheap roll in celophane standing coffee pot in a very small lobby.",0,0,0,0,0
"Arrived 9 pm walked into the most dirty floors room 1” gap underneath door no bugs or critters yet.",0,0,0,0,0
"Nice and comfortable hotel with a 3 minute walk to the beach.",0,0,0,0,-1
"Staff was very nice and the rooms are well kept.",1,0,0,0,0
"Nice ocean view and short walk to beach.",0,0,0,0,0
"Great value clean rooms DirectTV complimentary sodas bottle water and quick breakfast Keurig coffe pot at the room and at front desk.",0,0,1,1,0
"Close to many food places.",0,0,1,0,0
"The beach was in walking dustance as well.",0,0,0,0,0
"Room was clean with a comfy bed!",0,0,0,1,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was more than happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Everyone very happy with condo and its location.",0,0,0,0,1
"Rating Details: The property manager was more than helpful.",1,0,0,0,0
"The vacation rental was very clean.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Small beach located at end of property another a short walk away plus conveniently close to several other amazing spots.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"It was clean and the office was helpful.",0,0,0,1,0
"It was lacking in the kitchen area.",0,0,0,0,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was more than helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was somewhat unhappy with the location.",0,0,0,0,0
"Reviewer Comments: The small beach access was gated off.",0,0,0,0,0
"We walked 2 blocks to get to the small beach.",0,0,0,0,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was very clean.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Reviewer Comments: It was the perfect location!",0,0,0,0,1
"Loved how it was appointed clean and fully equipped!",0,0,0,1,0
"Only suggestion would be that the owner/manager what is upply more dishwashing soap and clothes soap packets s",0,0,0,0,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"It was nicely redone clean with a great view!",0,0,0,1,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very unhelpful.",0,0,0,0,0
"The vacation rental was clean.",0,0,0,0,0
"I was more than happy with the location.",0,0,0,0,1
"Reviewer Comments: the condo was advertised as a 2 bdrm but one of the bdrm has no door  only sliding wooden doors separating it from the LR  there is no privacy.",0,0,0,0,0
"Easy close walk to pool beach and snorkeling.",0,0,0,0,1
"Unit was clean comfy and plenty of room for 6 of us.",0,0,0,1,0
"This place was clean and pretty.",0,0,0,1,0
"Hard to beat the view the location the furnishings and facilities!",0,0,0,0,1
"Very nice sandy beach a rare find in this area.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Reviewer Comments: This was a perfect location for our stay on the beautiful island of Maui!",0,0,0,0,1
"The condo is large and clean could easily accommodate a family of 5 or two couples.",0,0,0,1,0
"The lanai overlooks the ocean where you can sit and watch the whales it is unreal.",0,0,0,0,0
"Every morning and afternoon we watched pods of whales shoot water into the air and breach as they frolicked in the sea.",0,0,0,0,0
"The location of the condo is perfect for swimm",0,0,0,0,1
"Rating Details: The property manager was more than helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was clean.",0,0,0,0,0
"I was very happy with the location.",0,0,0,0,1
"Reviewer Comments: We love Hale Mahina's location and the fact that it has it is own little beach.",0,0,0,0,1
"The condo's location on the top floornorth end made it a perfect location so that the cool breeze could enter through the doors and windows and ventilate the entire unit.",0,0,0,0,1
"Each morning as we enjoyed our Hawaiian French press coffee the many whale performed",0,0,1,0,0
"Beautiful sunsets!",1,0,1,0,1
"Needs a deep cleaning!",0,0,0,0,0
"Rating Details: The property manager was very helpful.",1,0,0,0,0
"The vacation rental was spotless.",0,0,0,1,0
"I was very happy with the location.",0,0,0,0,1
"very  nice great staff easy access would love to visit again",1,0,0,0,0
"Close walk to the beach and shops.",0,0,0,0,0
"The staff was extremely friendly and willing to help on suggestions of restaurants pubs etc.",1,0,0,0,0
"We did take advantage of the breakfasts onsite and the cold buffet was more than enough.",0,0,1,0,0
"Spacious and clean room in a quiet area.",0,0,0,1,1
"We had to go to the next small town to do our laundry and get food.",0,0,0,0,0
"Clean convenient",0,0,0,1,0
"Front desk staff was very pleasant and helpful with maps and suggestions .",1,0,0,0,0
"Lovely small inn within easy walking distance of town center.",0,0,0,0,1
"Staff are very friendly and service oriented.",1,0,0,0,0
"Great breakfast.",0,0,1,0,0
"Easy access to Cliffs of Moher Burren National Park and exploring nearby villages.",0,0,0,0,1
"Helpful friendly front desk... delicious breakfast... great location.",1,0,1,0,1
"Staff was awesome.",1,0,0,0,0
"Nice clean hotel.",0,0,0,1,0
"Walking distance to beach and restaurants.",0,0,0,0,0
"Everything was excellent breakfast was big and delicious.",0,0,1,0,0
"The bed was comfortable the room was very clean and the staff was friendly and helpful.",1,0,0,1,0
"Close enough to the beach for walking but far enough away to be quiet.",0,0,0,0,1
"While it being a pleasant hotel with lovely staff  my stay was overshadowed by being in a room directly over the entrance.",1,0,0,0,0
"I did eat in the restaurant and the food was tasty and filling.",0,0,1,0,0
"Nice stay central to most attractions in clare food was good little bit on the dear side for starters but mains were reasonably priced.",0,0,1,0,1
"we often go to lahinch.staff at this hotel very friendly and best breakfast even compared with what is upposedly better hotels",0,0,0,0,0
"Great staff.",1,0,0,0,0
"Enjoyed the breakfast.",0,0,1,0,0
"Great hotel unfortunately the awful smell from outside has found its way inside the room albeit mild it is still unpleasant.",0,0,0,0,0
"Liked swimming pool and gym facilities  coffee shop in lobby.",0,0,1,0,0
"Breakfast was average and good enough.",0,0,0,0,0
"Staff service laundry excellent",1,0,0,0,0
"The hotel was ok. Staff was friendly mainly Mr. Sufyan at the front desk.",0,0,0,0,0
"Room spacious and clean .",0,0,0,1,0
"Fruit basket on arrival in room nice touch.",0,0,1,0,0
"Highly recommended in good area of Gulberg.",0,0,0,0,1
"Good location.",0,0,0,0,-1
"Good room Well placed  Quite location  Worth every penny",0,0,0,0,1
"Room was clean and bed was comfortable.",0,0,0,1,0
"Advertised amenities were not open such as cabana bar.",0,0,0,0,0
"Restaurant service and food  was mediocre.",0,0,0,0,0
"However buffet was good.",0,0,0,0,0
"Staff was very helpful and friendly.",1,0,0,0,0
"The hotel is clean and elegant.",0,0,0,1,0
"Food is great and the Casino is not smoking and clean.",0,0,0,0,0
"Great service in the Casino.",-1,0,0,0,0
"The pool area is big and lots of room.",0,0,0,0,1
"The hotel was very comfortable and we enjoyed the lazy river and the pool area.",0,0,0,0,1
"Amazing casino with great food and location to all sorts of events and restaurant near by not to mention an awesome resort style pool and spa",0,0,1,0,1
"Beautiful resort delicious food and great service.",1,0,1,0,0
"the room was not clean at the back of the bed.",0,0,0,0,0
"i was looking for my glasses and thinking that maight fall behind the bed I lift the matress and it was so dirty with  food rapers",0,0,0,0,0
"Nice family friendly hotel.",1,0,0,0,0
"The room was nicebut the hall carpets smelled and could be replaced.",0,0,0,0,0
"There was a slight odor for a bit but went away after the a/c was on for a bit",1,0,0,0,1
"The room was good but not enough towels or coffee let in the room",0,0,0,0,0
"Nice friendly employees!",1,0,0,0,0
"In a great location where you have other entertainment around you.",0,0,0,0,1
"Front desk staff was VERY friendly.",1,0,0,0,0
"I appreciated this becuase we were in the area already and it was nice to check in earlier than anticipated.",0,0,0,0,1
"Space was very clean.",0,0,0,1,0
"The Room was clean.",0,0,0,1,0
"The carpet in the hallway was very dirty and has many stains on it.",0,0,0,0,0
"Great location breakfast was good.",0,0,1,0,1
"The hotel staff was very friendly.",1,0,0,0,0
"Weather is amazing location it is good",0,0,0,0,1
"Great price for a hotel in this area",0,0,0,0,1
"The staff was very friendly.",1,0,0,0,0
"The location was in walking distance to the lake.",0,0,0,0,-1
"Very clean and comfortable inn.",0,0,0,1,0
"Staff was pleasant and always available.",1,0,0,0,0
"However be aware there is no on-site bar or restaurant.",0,0,0,0,0
"They do have a breakfast set-up in the morning and it was delicious.",0,0,1,0,0
"The personnel were friendly and helpful.",1,0,0,0,0
"Very nice hotel clean and comfortable beds.",0,0,0,1,0
"A lot of room located near downtown and the lake.",0,0,0,0,0
"The breakfast provided by the hotel is also quite good.",0,0,1,0,0
"We enjoyed our stay in the very clean well-equipped suites.",0,0,0,1,0
"Great staff.",1,0,0,0,0
"It is a very clean cosy and kids friendly hotel.",1,0,0,1,0
"The hotel has cute and clean pool with a hot tub.",0,0,0,0,0
"Continental breakfast included!",0,0,1,0,0
"Continental breakfast has a little bit to be desired.",0,0,0,0,0
"Very clean.",0,0,0,1,0
"Steps away from the beautiful lake and great shopping.",1,0,0,0,1
"Perfect location.",0,0,0,0,1
"A very roomy and clean room located near the lake 1 block.",0,0,0,1,1
"Definitely will stay there next time in the area.",0,0,0,0,1
"Very very nice staff clean room.",1,0,0,1,0
"Good location",0,0,0,0,-1
"Brad was very friendly and helpful.",1,0,0,0,0
"The room was beyond clean comfy bed and nice towels.",0,0,0,1,0
"advertise breakfastthen continental breakfast we received neither",0,0,0,0,0
"This was a nice clean hotel and close to Lake George.",0,0,0,1,0
"There is no breakfast but they do have a pool and some hot tubs.",0,0,0,0,0
"Located between Lake George Village and the Outlet malls this hotel was perfect for what we were looking for.",1,0,0,0,1
"The two gentlemen we dealt with upon check-in and when we needed pool towels etc were very friendly.",1,0,0,0,0
"Rooms were clean quiet and a/c worked great.",0,0,0,1,0
"The pool and surrounding area were also clean.",0,0,0,1,1
"Coffee and donuts in the morning.",0,0,0,0,0
"Quiet clean and excellent location!",0,0,0,1,1
"Very easy to get to and from great shopping and awesome food right near by.",0,0,1,0,1
"Very pleasant and clean.",0,0,0,1,0
"Geat location close to downtown Lake George.",0,0,0,0,0
"The room was very clean air condition work great the way we like it.",0,0,0,1,0
"The staff was friendly and the room was clean.",1,0,0,1,0
"Comfortable bedsvery clean and quiet.hotel check in very accomadating",0,0,0,1,0
"The location was close to a lot of places to see but far enough away to make it quiet.",0,0,0,0,1
"This is an exceptionally clean motel.",0,0,0,-1,0
"It was great room was clean staff what is uper friendly pool was amazing.",1,0,0,1,0
"Very nice place to stay for the price clean and quiet.",0,0,0,1,0
"Also right on the bike path if you want to ride jog or walk.",0,0,0,0,1
"Wonderful staff.",1,0,0,0,0
"Quiet area.",0,0,0,0,1
"Enjoyed having a little porch with seating area.",0,0,0,0,1
"Very nice place to stay and had a very friendly staff!",1,0,0,0,0
"Property wast great staff was awesome rooms really clean and quite area",1,0,0,1,1
"The room smelled old and stuffy.",0,0,0,0,0
"But clean.",0,0,0,1,0
"The staff very friendly.",1,0,0,0,0
"The staff is very friendly and helpful and the room service is nice as well.",1,0,0,0,0
"The staff was wonderful.",1,0,0,0,0
"Staff was accommodating to my needs.",1,0,0,0,0
"Very friendly!",1,0,0,0,0
"Fabulous lunch and great wine selection.",0,0,1,0,0
"Small plates at the bar was a nice touch.",0,0,1,0,0
"Loved the shrimp cocktail and bartender was great- knew his stuff!",1,0,1,0,0
"Great old fashioned... it was a true delight to get away for our 25th wedding anniversary!",1,0,0,0,1
"Food quality could be better",0,0,1,0,0
"Very nice room for the price and staff was very pleasant only regret was only 1 check in cart",1,0,0,0,0
"Convenient location.",0,0,0,0,1
"Friendly staff and great atmosphere.",1,0,0,0,0
"Some areas outside in badly need to painting - so much so some wood will need replacing.",0,0,0,0,0
"Some staff seemed tired from busy summer months maybe could have been a bit more outgoing but still professional.",1,0,0,0,0
"Great views and an clean place so stay.",0,0,0,1,0
"The suite was big and exactly what we wanted for our weekend away.",1,0,0,0,1
"All the special touches made us feel very special turn down each evening with chocolates and liqueur and coffee bar in the hallway in the morning.",0,0,1,0,0
"Staff was what is uper nice!",1,0,0,0,0
"Very nice place to stay no pool great location on lake",0,0,0,0,0
"Staff was excellent food great and nice view.",1,0,1,0,0
"Good location to walk around.",0,0,0,0,-1
"We ate dinner at the hotel for our anniversary.",0,0,1,0,0
"It was a  little expensive at but it was really good food.",0,0,1,0,0
"Did not have paper towels or napkins in kitchen area also staff not very personal only one person at desk spoke when coming in and out",0,0,0,0,0
"Beautiful view in the restaurant but I would not recommend eating there unless you like your breakfast cold when it should be delivered hot.",0,0,1,0,0
"Awesome location .",0,0,0,0,1
"staff friendly courteous and professional   Excellent experience we decided to return again.",1,0,0,0,0
"Old gross rooms smell floors slant.",0,0,0,0,0
"The banging from walking went on all morning.",0,0,0,0,0
"Bed was OK room was clean.",0,0,0,0,0
"Nothing fancy just a place to rest your head after a full day of taking in the Lake George area.",0,0,0,0,-1
"Poor staff that never pick up the phone.",0,0,0,0,0
"People in the parking lot doing beer bongs and driving around at 10 AM.",0,0,0,0,0
"Well-located friendly staff and very clean.",1,0,0,1,0
"Very good location !",0,0,0,0,1
"Close to food.",0,0,1,0,0
"Room was overall clean but Needs updating.",0,0,0,0,0
"Very nice staff.",1,0,0,0,0
"Great customer service Lizette was absolutely wonderful!",1,0,0,0,0
"Nice location.",0,0,0,0,1
"It is clean quiet simple and comfortable.",0,0,0,1,0
"The pool is clean.",0,0,0,-1,0
"It is close enough that you can walk comfortably into Lake George village yet far enough away that it is quiet.",0,0,0,0,1
"Pleasant stay perfect location - close to Lake and Downtown",0,0,0,0,1
"It has a great location and its clean and easily accessible to the lake.",0,0,0,1,1
"the staff is friendly and accommodating.",1,0,0,0,0
"The rooms are in good condition and clean.",0,0,0,1,0
"Great motel for a weekend trip away from the hustle of the strip but still close to walk.",0,0,0,0,0
"Marine village is in a fantastic location right in the middle of the village of Lake George.",0,0,0,0,1
"great downtown location.",0,0,0,0,1
"very clean hotel.",0,0,0,1,0
"Perfect location right on the lake and downtown Lake George.",0,0,0,0,1
"We like the closeness of this motel to the lake george village area.",0,0,0,0,0
"The room we had had a funny smell to it like it was musty or old.",0,0,0,0,0
"The location and property is absolutely perfect.",0,0,0,0,1
"Low pressure  low key  beautiful location.",0,0,0,0,1
"We arrived just after the summer session ended  so the restaurant whose menu was in the room appeared closed for the season.",0,0,0,0,0
"Hotel checkin staff took pains to ensure the prices would be easy.",1,0,0,0,0
"Staff was friendly  helpful.",1,0,0,0,0
"Great location with private beach.",0,0,0,0,-1
"Could use some updating but overall clean.",0,0,0,1,0
"Very clean.",0,0,0,1,0
"walk to all see lake from everywhere just perfect",0,0,0,0,1
"Lake George is a very pretty area.",0,0,0,0,1
